[Sun Nov 02 23:44:29 2014] [error] [client 24.36.72.92] PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phpmdmzWz' to '/srv/www/divine66.com/public_html//wp-content/themes/twentythirteen/recipeimages/recipethumb/recipeimage_8.jpeg' in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/recipeupload.php on line 305, referer: http://www.divine66.com/recipeupload
[Sun Nov 02 23:44:29 2014] [error] [client 24.36.72.92] PHP Warning:  getimagesize(/srv/www/divine66.com/public_html//wp-content/themes/twentythirteen/recipeimages/recipethumb/recipeimage_8.jpeg): failed to open stream: No such file or directory in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/SimpleImage.php on line 28, referer: http://www.divine66.com/recipeupload
[Sun Nov 02 23:44:29 2014] [error] [client 24.36.72.92] PHP Warning:  imagesx() expects parameter 1 to be resource, null given in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/SimpleImage.php on line 60, referer: http://www.divine66.com/recipeupload
[Sun Nov 02 23:44:29 2014] [error] [client 24.36.72.92] PHP Warning:  Division by zero in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/SimpleImage.php on line 71, referer: http://www.divine66.com/recipeupload
[Sun Nov 02 23:44:29 2014] [error] [client 24.36.72.92] PHP Warning:  imagesy() expects parameter 1 to be resource, null given in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/SimpleImage.php on line 63, referer: http://www.divine66.com/recipeupload
[Sun Nov 02 23:44:29 2014] [error] [client 24.36.72.92] PHP Warning:  imagecreatetruecolor(): Invalid image dimensions in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/SimpleImage.php on line 81, referer: http://www.divine66.com/recipeupload
[Sun Nov 02 23:44:29 2014] [error] [client 24.36.72.92] PHP Warning:  imagesx() expects parameter 1 to be resource, null given in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/SimpleImage.php on line 60, referer: http://www.divine66.com/recipeupload
[Sun Nov 02 23:44:29 2014] [error] [client 24.36.72.92] PHP Warning:  imagesy() expects parameter 1 to be resource, null given in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/SimpleImage.php on line 63, referer: http://www.divine66.com/recipeupload
[Sun Nov 02 23:44:29 2014] [error] [client 24.36.72.92] PHP Warning:  imagecopyresampled() expects parameter 1 to be resource, boolean given in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/SimpleImage.php on line 82, referer: http://www.divine66.com/recipeupload
[Sun Nov 02 23:44:29 2014] [error] [client 24.36.72.92] PHP Warning:  imagejpeg() expects parameter 1 to be resource, boolean given in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/SimpleImage.php on line 40, referer: http://www.divine66.com/recipeupload
[Sun Nov 02 23:44:29 2014] [error] [client 24.36.72.92] PHP Warning:  getimagesize(/srv/www/divine66.com/public_html//wp-content/themes/twentythirteen/recipeimages/big/recipeimage_8.jpeg): failed to open stream: No such file or directory in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/recipeupload.php on line 334, referer: http://www.divine66.com/recipeupload
